,sampleID,Variable,value,Unit,AdjunctCulture,Age[d],Experiment,MilkTreatment,Prefix,SampleNumber,SampleType,Season,Semester,SubExperiment,Trial,production_date,variable
133,EH_310_vatmilk_0h,Mesophilic aerobic total,1.0,log CFU/g,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Mesophilic_aerobic_total
134,EH_310_vatmilk_0h,Moulds,1.0,log CFU/g,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Moulds
135,EH_310_vatmilk_0h,PAB,1.0,log CFU/g,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,PAB
136,EH_310_vatmilk_0h,Salt tolerant,1.0,log CFU/g,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Salt_tolerant
137,EH_310_vatmilk_0h,Spores,1.724275869600789,log Spor./l,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Spores
138,EH_310_vatmilk_0h,Streptococci,1.0,log CFU/g,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Streptococci
139,EH_310_vatmilk_0h,Yeasts,1.0,log CFU/g,None,0,Liebefeld,therm.,<,310,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Yeasts
140,EH_311_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,eRM.y ,0,Liebefeld,raw,<,311,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Butyric_spores
141,EH_311_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,311,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,Coag_pos_Staph
142,EH_311_vatmilk_0h,E coli,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,311,vatmilk,spring,summer,3.2,20-22-83,2022-05-05,E_coli
